XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
451870.955,4366004.969,1,2,1,732.469488
452417.4381,4366491.503,2,1,1,732.469488
452415.2338,4366505.779,3,4,2,753.2965894
451852.7374,4366005.877,4,3,2,753.2965894
448712.5643,4366848.085,5,6,3,683.3212756
448712.5643,4366848.085,5,7,4,1843.634019
448712.5643,4366848.085,5,102,52,5788.626437
449365.5466,4366679.26,6,5,3,683.3212756
446944.0343,4367237.839,7,5,4,1843.634019
441982.2364,4368475.881,9,10,5,4402.426595
441982.2364,4368475.881,9,12,6,371.988672
441982.2364,4368475.881,9,13,7,1194.437233
445883.4068,4367256.688,10,9,5,4402.426595
442354.2104,4368475.904,12,9,6,371.988672
441211.385,4369349.357,13,9,7,1194.437233
441211.385,4369349.357,13,17,9,421.4169777
441211.385,4369349.357,13,32,17,736.828677
441439.7555,4369713.212,15,16,8,40.85398846
441439.7555,4369713.212,15,17,10,266.634976
441439.7555,4369713.212,15,21,11,84.15835182
441431.033,4369673.3,16,15,8,40.85398846
441179.1677,4369767.283,17,13,9,421.4169777
441179.1677,4369767.283,17,15,10,266.634976
441179.1677,4369767.283,17,25,13,92.65016151
441179.1677,4369767.283,17,43,22,365.7356589
441457.7259,4369795.429,21,15,11,84.15835182
441457.7259,4369795.429,21,23,12,58.77536533
441457.7259,4369795.429,21,25,14,291.917265
441470.279,4369852.849,23,21,12,58.77536533
441470.279,4369852.849,23,39,21,307.4627924
441470.279,4369852.849,23,53,27,114.1346299
441172.9967,4369859.727,25,17,13,92.65016151
441172.9967,4369859.727,25,21,14,291.917265
441172.9967,4369859.727,25,29,15,4.0914296
441168.9949,4369860.579,29,25,15,4.0914296
441168.9949,4369860.579,29,39,20,46.46793931
441168.9949,4369860.579,29,43,23,262.7174291
440696.7396,4369842.336,31,32,16,80.16495428
440696.7396,4369842.336,31,203591,101796,55.58006436
440764.8508,4369884.612,32,31,16,80.16495428
440764.8508,4369884.612,32,13,17,736.828677
440764.8508,4369884.612,32,35,19,15.90576241
440764.8508,4369884.612,32,48,24,87.46801991
440749.5918,4369889.101,35,36,18,68.96937408
440749.5918,4369889.101,35,32,19,15.90576241
440749.5918,4369889.101,35,63,32,250.2990275
440749.5918,4369889.101,35,651,326,10936.7138
440691.1913,4369852.411,36,35,18,68.96937408
440691.1913,4369852.411,36,203594,101797,57.90504712
441167.6272,4369907.027,39,29,20,46.46793931
441167.6272,4369907.027,39,23,21,307.4627924
441167.6272,4369907.027,39,51,26,216.5623793
441167.6272,4369907.027,39,55,28,108.8914359
440910.922,4369909.69,43,17,22,365.7356589
440910.922,4369909.69,43,29,23,262.7174291
440910.922,4369909.69,43,48,25,79.94268875
440835.9005,4369935.579,48,32,24,87.46801991
440835.9005,4369935.579,48,43,25,79.94268875
440835.9005,4369935.579,48,60,30,163.127025
440953.8092,4369941.394,51,39,26,216.5623793
441494.6456,4369964.352,53,23,27,114.1346299
441494.6456,4369964.352,53,55,29,329.8422856
441494.6456,4369964.352,53,68,34,2839.162803
441168.8399,4370015.797,55,39,28,108.8914359
441168.8399,4370015.797,55,53,29,329.8422856
441168.8399,4370015.797,55,60,31,222.3292975
440949.5007,4370052.138,60,48,30,163.127025
440949.5007,4370052.138,60,55,31,222.3292975
440949.5007,4370052.138,60,63,33,13.81851915
440949.5007,4370052.138,60,72,36,709.6488439
440935.8678,4370054.395,63,35,32,250.2990275
440935.8678,4370054.395,63,60,33,13.81851915
440935.8678,4370054.395,63,69,35,707.4807175
440935.8678,4370054.395,63,79,40,2415.969152
443967.295,4370211.652,68,53,34,2839.162803
443967.295,4370211.652,68,96,48,4143.15903
443967.295,4370211.652,68,194,97,3119.876608
441112.4146,4370726.484,69,63,35,707.4807175
441112.4146,4370726.484,69,73,37,1521.25435
441112.4146,4370726.484,69,75,38,1522.157813
441124.59,4370727.235,72,60,36,709.6488439
441124.59,4370727.235,72,112,56,1887.340486
441124.59,4370727.235,72,220,110,2738.051803
441255.9257,4372240.94,73,69,37,1521.25435
441255.9257,4372240.94,73,75,39,11.07860826
441255.9257,4372240.94,73,113,57,367.6614068
441244.8636,4372241.546,75,69,38,1522.157813
441244.8636,4372241.546,75,73,39,11.07860826
441244.8636,4372241.546,75,79,41,626.7412147
441244.8636,4372241.546,75,117,59,367.7146882
440618.3581,4372258.733,79,63,40,2415.969152
440618.3581,4372258.733,79,75,41,626.7412147
440618.3581,4372258.733,79,94,47,186.7325075
439552.9515,4372286.564,83,84,42,255.7406819
439552.9515,4372286.564,83,86,43,459.7329948
439552.9515,4372286.564,83,133,67,377.088644
439808.5651,4372278.502,84,83,42,255.7406819
439093.3179,4372296.125,86,83,43,459.7329948
439093.3179,4372296.125,86,137,69,373.3610944
438756.434,4372350.458,87,88,44,187.1043191
438756.434,4372350.458,87,90,46,491.7401253
438756.434,4372350.458,87,177,89,872.5671818
438693.0093,4372174.432,88,87,44,187.1043191
438693.0093,4372174.432,88,203598,101799,892.1235359
438709.0913,4372170.331,89,90,45,205.0249853
438709.0913,4372170.331,89,203595,101798,896.0890191
438779.2594,4372362.975,90,89,45,205.0249853
438779.2594,4372362.975,90,87,46,491.7401253
438779.2594,4372362.975,90,108,54,146.085074
440646.3261,4372443.359,94,79,47,186.7325075
440646.3261,4372443.359,94,98,50,552.0680121
440646.3261,4372443.359,94,122,61,192.5294762
447380.8102,4372450.345,96,68,48,4143.15903
447380.8102,4372450.345,96,102,51,86.64717925
447380.8102,4372450.345,96,179,90,2118.282303
440106.937,4371996.409,97,98,49,473.7877912
440094.8566,4372469.059,98,97,49,473.7877912
440094.8566,4372469.059,98,94,50,552.0680121
440094.8566,4372469.059,98,130,65,190.9775643
447463.9945,4372473.676,102,96,51,86.64717925
447463.9945,4372473.676,102,5,52,5788.626437
447463.9945,4372473.676,102,106,53,25.76460931
447480.953,4372493.072,106,102,53,25.76460931
447480.953,4372493.072,106,109,101800,66.78478305
438817.8964,4372503.748,108,90,54,146.085074
438817.8964,4372503.748,108,172,86,529.309912
438817.8964,4372503.748,108,172,87,537.4688752
447521.5611,4372546.093,109,110,55,22.32426692
