XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
538090.214,4436628.55,1,2,1,14.570863
538102.699,4436636.06,2,1,1,14.570863
538102.699,4436636.06,2,4,2,926.745838
538102.699,4436636.06,2,6,3,77.777395
538102.699,4436636.06,2,37,19,637.282446
538477.945,4435790.19,4,2,2,926.745838
538171.013,4436673.25,6,2,3,77.777395
538171.013,4436673.25,6,8,4,135.521181
538171.013,4436673.25,6,10,5,234.117484
538244.401,4436559.51,8,6,4,135.521181
538376.578,4436785.29,10,6,5,234.117484
538376.578,4436785.29,10,12,6,344.227449
538376.578,4436785.29,10,12,7,802.032879
538676.273,4436954.58,12,10,6,344.227449
538676.273,4436954.58,12,10,7,802.032879
538676.273,4436954.58,12,48,24,1252.97499
538030.657,4436925.7,15,16,8,61.277391
538077.369,4436960.1,16,15,8,61.277391
538077.369,4436960.1,16,18,9,77.335059
538077.369,4436960.1,16,33,17,564.247279
538138.309,4437001.65,18,16,9,77.335059
538138.309,4437001.65,18,20,10,18.233591
538138.309,4437001.65,18,28,14,91.451423
538153.554,4437011.59,20,18,10,18.233591
538153.554,4437011.59,20,24,12,126.592252
538153.554,4437011.59,20,32,16,182.111542
538499.426,4437018.41,21,22,11,886.405861
538499.426,4437018.41,21,24,13,244.356087
538499.426,4437018.41,21,39,20,369.768162
537990.732,4436906.6,22,21,11,886.405861
538266.912,4437057.86,24,20,12,126.592252
538266.912,4437057.86,24,21,13,244.356087
538266.912,4437057.86,24,32,18,254.823758
538101.346,4437085.3,28,18,14,91.451423
538085.549,4437178.52,32,20,16,182.111542
538085.549,4437178.52,32,24,18,254.823758
538085.549,4437178.52,32,42,21,154.5089
537988.884,4436911.14,33,16,17,564.247279
537837.81,4437215.69,37,2,19,637.282446
537837.81,4437215.69,37,56,29,683.320067
538299.002,4437294.65,39,21,20,369.768162
538299.002,4437294.65,39,42,22,139.830009
538299.002,4437294.65,39,42,23,299.623978
538160.929,4437298.01,42,32,21,154.5089
538160.929,4437298.01,42,39,22,139.830009
538160.929,4437298.01,42,39,23,299.623978
539772.102,4437561.99,48,12,24,1252.97499
539772.102,4437561.99,48,64,32,860.178633
539772.102,4437561.99,48,233,117,1588.04792
538397.35,4437221.16,49,50,25,501.690589
538382.882,4437640.64,50,49,25,501.690589
538382.882,4437640.64,50,51,26,393.751015
538382.882,4437640.64,50,54,27,40.053926
538168.347,4437375.8,51,50,26,393.751015
538418.925,4437656.32,54,50,27,40.053926
537509.45,4437785.11,55,56,28,67.119738
537552.296,4437836.5,56,55,28,67.119738
537552.296,4437836.5,56,37,29,683.320067
537552.296,4437836.5,56,59,31,197.012286
537468.467,4438014.78,59,60,30,79.92319
537468.467,4438014.78,59,56,31,197.012286
537468.467,4438014.78,59,66,33,118.842473
537391.79,4438006.89,60,59,30,79.92319
540478.681,4438045.1,64,48,32,860.178633
540478.681,4438045.1,64,68,34,585.785653
540478.681,4438045.1,64,93,47,610.82869
537418.576,4438122.65,66,59,33,118.842473
537418.576,4438122.65,66,202,101,1074.89676
537418.576,4438122.65,66,283,143,1970.03406
540919.979,4438430.32,68,64,34,585.785653
540919.979,4438430.32,68,71,37,109.169525
540919.979,4438430.32,68,102,51,420.655087
540779.359,4438462.25,69,70,35,41.6223
540814.594,4438458.34,70,69,35,41.6223
540820.598,4438475.29,71,72,36,128.054145
540820.598,4438475.29,71,68,37,109.169525
540820.598,4438475.29,71,78,40,51.203333
540820.598,4438475.29,71,299,150,809.499174
540792.739,4438350.31,72,71,36,128.054145
538749.223,4438486.1,75,81,41,19.341101
540801.006,4438434.58,77,78,39,81.734729
