XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
177603.9516,3151760.37,1,2,1,77.44572491
177603.9516,3151760.37,1,4,2,282.503873
177603.9516,3151760.37,1,5,3,147.4188685
177527.7794,3151765.01,2,1,1,77.44572491
177785.6154,3151897.763,4,1,2,282.503873
177785.6154,3151897.763,4,5,4,177.9050607
177785.6154,3151897.763,4,12,6,60.63090279
177607.9899,3151907.734,5,1,3,147.4188685
177607.9899,3151907.734,5,4,4,177.9050607
177607.9899,3151907.734,5,10,5,91.4692104
177607.9899,3151907.734,5,15,8,191.5858496
177607.9899,3151907.734,5,21,11,244.3220708
177518.8976,3151902.519,10,5,5,91.4692104
177832.4181,3151934.431,12,4,6,60.63090279
177832.4181,3151934.431,12,13,7,335.478938
177832.4181,3151934.431,12,17,10,224.9975454
177997.2326,3151642.739,13,12,7,335.478938
177731.5481,3152054.153,15,5,8,191.5858496
177731.5481,3152054.153,15,17,9,144.4434525
177731.5481,3152054.153,15,25,14,145.4434631
177845.7675,3152142.571,17,15,9,144.4434525
177845.7675,3152142.571,17,12,10,224.9975454
177845.7675,3152142.571,17,30,15,75.38908771
177845.7675,3152142.571,17,33,18,80.98867922
177845.7675,3152142.571,17,39,20,308.5680674
177622.3127,3152151.245,21,5,11,244.3220708
177622.3127,3152151.245,21,24,12,68.57116852
177622.3127,3152151.245,21,25,13,45.25128137
177553.8846,3152155.673,24,21,12,68.57116852
177658.6503,3152178.213,25,21,13,45.25128137
177658.6503,3152178.213,25,15,14,145.4434631
177658.6503,3152178.213,25,30,16,135.4766174
177658.6503,3152178.213,25,38,19,137.2197459
177783.379,3152184.893,30,17,15,75.38908771
177783.379,3152184.893,30,25,16,135.4766174
177783.379,3152184.893,30,33,17,42.37231744
177809.6926,3152214.688,33,30,17,42.37231744
177809.6926,3152214.688,33,17,18,80.98867922
177809.6926,3152214.688,33,39,21,373.6099834
177556.3223,3152244.601,38,25,19,137.2197459
178052.9519,3152370.704,39,17,20,308.5680674
178052.9519,3152370.704,39,33,21,373.6099834
178052.9519,3152370.704,39,43,22,324.4569926
178052.9519,3152370.704,39,47,24,263.958213
178266.0752,3152540.198,43,39,22,324.4569926
178266.0752,3152540.198,43,45,23,125.1703872
178266.0752,3152540.198,43,50,26,183.6180638
178359.6533,3152616.424,45,43,23,125.1703872
178359.6533,3152616.424,45,57,29,344.4457197
178359.6533,3152616.424,45,57,30,456.8855684
178092.928,3152623.833,47,39,24,263.958213
178092.928,3152623.833,47,50,25,52.84463268
178092.928,3152623.833,47,53,27,62.19652792
178136.973,3152653.032,50,47,25,52.84463268
178136.973,3152653.032,50,43,26,183.6180638
178136.973,3152653.032,50,53,28,69.21050696
178081.9535,3152685.053,53,47,27,62.19652792
178081.9535,3152685.053,53,50,28,69.21050696
178081.9535,3152685.053,53,62,31,354.6743719
178182.0009,3152900.918,57,45,29,344.4457197
178182.0009,3152900.918,57,45,30,456.8855684
178182.0009,3152900.918,57,62,32,271.498197
177927.8381,3152994.429,62,53,31,354.6743719
177927.8381,3152994.429,62,57,32,271.498197
177927.8381,3152994.429,62,66,33,92.7313781
177875.2086,3153070.662,66,62,33,92.7313781
208754.6163,3167065.269,67,68,34,63.77220646
208769.0853,3167126.933,68,67,34,63.77220646
208769.0853,3167126.933,68,69,35,202.273323
208769.0853,3167126.933,68,71,37,55.97416722
208921.7253,3167014.96,69,68,35,202.273323
208785.408,3167180.474,71,72,36,61.42389743
208785.408,3167180.474,71,68,37,55.97416722
208785.408,3167180.474,71,76,38,63.2017467
208737.5608,3167149.006,72,71,36,61.42389743
208804.2586,3167240.786,76,71,38,63.2017467
208804.2586,3167240.786,76,78,39,191.7332149
208804.2586,3167240.786,76,82,41,1067.310279
208857.6685,3167424.929,78,76,39,191.7332149
208857.6685,3167424.929,78,80,40,57.2287551
208857.6685,3167424.929,78,80,42,694.8627309
208873.6245,3167479.888,80,78,40,57.2287551
208873.6245,3167479.888,80,78,42,694.8627309
208873.6245,3167479.888,80,98,49,825.2538616
209800.7784,3167516.648,82,76,41,1067.310279
209998.5078,3167763.219,85,86,43,223.7032216
209998.5078,3167763.219,85,88,44,61.8873132
209998.5078,3167763.219,85,93,48,355.881529
210084.9257,3167623.507,86,85,43,223.7032216
210056.2345,3167785.528,88,85,44,61.8873132
210056.2345,3167785.528,88,89,45,482.7743848
210056.2345,3167785.528,88,89,46,246.4866646
210284.6437,3167872.828,89,88,45,482.7743848
210284.6437,3167872.828,89,88,46,246.4866646
210284.6437,3167872.828,89,102,51,1885.7368
209677.3995,3167878.129,93,94,47,340.9546667
209677.3995,3167878.129,93,85,48,355.881529
209677.3995,3167878.129,93,98,50,716.7894713
209854.1833,3167594.741,94,93,47,340.9546667
